date,forecast_demand_mw
2025-01-01,4319.51
2025-01-02,4313.11
2025-01-03,4316.11
2025-01-04,4088.68
2025-01-05,4084.52
2025-01-06,4342.53
2025-01-07,4333.01
2025-01-08,4373.83
2025-01-09,4369.9
2025-01-10,4372.48
2025-01-11,4145.03
2025-01-12,4139.15
2025-01-13,4397.93
2025-01-14,4387.18
2025-01-15,4429.13
2025-01-16,4425.09
2025-01-17,4427.69
2025-01-18,4200.23
2025-01-19,4194.44
2025-01-20,4453.18
2025-01-21,4442.48
2025-01-22,4484.38
2025-01-23,4480.35
2025-01-24,4482.95
2025-01-25,4255.49
2025-01-26,4249.69
2025-01-27,4508.44
2025-01-28,4497.74
2025-01-29,4539.64
2025-01-30,4535.6
